"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","Reference","boot.Kingdom","boot.Phylum","boot.Class","boot.Order","boot.Family","boot.Genus","boot.Species","boot.Reference"
"ASV107","ASV107",40.0819604158193,-24.8674897328006,2.94528609372427,-8.44314913440415,3.08900584713555e-17,1.23560233885422e-16,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Unclassified","Unclassified","Unclassified","100","100","100"," 79"," 79"," 13","  6","  4"
"ASV108","ASV108",188.301571312766,26.4372770335913,2.80847781463866,9.41338289937418,4.80420312172567e-21,4.94146606806069e-20,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","Unclassified","100","100","100","100","100","100"," 23"," 23"
"ASV111","ASV111",212.6504628881,26.5933846881867,2.94495781837885,9.03014111856649,1.71450555917112e-19,1.02870333550267e-18,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Unclassified","Unclassified","100","100","100","100","100","100"," 19"," 19"
"ASV130","ASV130",292.011700080944,27.0492565319748,2.6061449803665,10.3790298451358,3.08898176684479e-25,7.4135562404275e-24,"Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Unclassified","Unclassified","100","100","100"," 89"," 89"," 85"," 32"," 28"
"ASV149","ASV149",28.3124940455155,-24.3395595887648,2.94546415051403,-8.2634037778111,1.41576330389052e-16,4.85404561333893e-16,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_recalcitrans","oomycetedb_76","100","100","100","100","100","100"," 98"," 98"
"ASV157","ASV157",144.456459403348,-26.6168271893026,2.59715303033956,-10.2484631742407,1.20240058959658e-24,2.16432106127384e-23,"Stramenopila","Oomycota","Oomycetes","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","100","100","100"," 53"," 53"," 31"," 10"," 10"
"ASV158","ASV158",12.1242210850566,22.6027187828796,2.94662852141055,7.6707052207788,1.71053249747304e-14,4.1052779939353e-14,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_abappressorium","Unclassified","100","100","100","100","100","100"," 98"," 50"
"ASV162","ASV162",97.7823208784611,25.1467821097203,2.85694516005743,8.80198278262185,1.34419809723938e-18,7.44478946163352e-18,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Unclassified","Unclassified","100","100","100","100","100"," 98"," 54"," 54"
"ASV165","ASV165",20.1411905380778,-23.9278936064782,2.94570972482708,-8.12296384969935,4.54934858113477e-16,1.31021239136681e-15,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","Unclassified","100","100","100"," 96"," 96"," 90"," 18"," 18"
"ASV167","ASV167",36.9444624930532,24.1485214420597,2.9454392282636,8.19861472962585,2.43172914312109e-16,7.29518742936328e-16,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_ultimum","oomycetedb_93","100","100","100","100","100","100","100"," 97"
