"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV1736","ASV1736",14.6769090496362,-7.40974846225329,1.817600783532,-4.07666443004855,4.56863516397495e-05,0.000172942262280023,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Unclassified","Unclassified"
"ASV1738","ASV1738",15.8207390918336,7.33480367568244,1.07965179672658,6.79367523670224,1.09312313629589e-11,1.05267610753886e-10,"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","Unclassified","Unclassified"
"ASV1739","ASV1739",3.91775874997583,5.32000028629966,2.34881115398099,2.26497574199731,0.0235141681664759,0.0401199767073996,"Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101 soil group","Unclassified","Unclassified"
"ASV1745","ASV1745",15.9284090005414,7.34442520922511,1.37765072735882,5.33112280447567,9.76073826158991e-08,5.77613308518137e-07,"Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Unclassified","Unclassified"
"ASV1757","ASV1757",15.4781338950404,7.30337603277094,1.22448293903414,5.96445715979657,2.45448653298772e-09,1.75186634224696e-08,"Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Saccharothrix","Unclassified"
"ASV1758","ASV1758",10.4263802337829,-6.9166055778913,1.64894732918357,-4.19455822237565,2.73403921236653e-05,0.000107408683342971,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter","Unclassified"
"ASV1762","ASV1762",16.1352880038159,7.36307725337072,1.99494710046659,3.69086340768064,0.000223494135724374,0.00075167991691471,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter","Unclassified"
"ASV1766","ASV1766",15.1133755451945,7.26935076116073,1.07695312456685,6.74992308888508,1.47923547378851e-11,1.38308516799225e-10,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis","Unclassified","Unclassified"
"ASV1769","ASV1769",17.5916539999742,-7.67119885059927,1.38992933095357,-5.51912869220222,3.40684636446929e-08,2.15229820998566e-07,"Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","Unclassified"
"ASV1773","ASV1773",15.1688539182238,7.27429815440634,1.3692526960443,5.31260458746686,1.08069364503391e-07,6.24179313285576e-07,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14","Unclassified","Unclassified"
"ASV1782","ASV1782",15.3025400503753,7.28679205618417,1.51723885975205,4.80266637606092,1.56566631060732e-06,7.74549206570286e-06,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter","Unclassified"
"ASV1794","ASV1794",15.4750714561788,3.7374640692785,1.64731286613393,2.26882466962693,0.023278990141307,0.0398642047291612,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14","Unclassified","Unclassified"
"ASV1795","ASV1795",17.4681349923861,-7.66088337425167,1.51671746572695,-5.050962718742,4.39588869855638e-07,2.32212199613006e-06,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Opitutus","Unclassified"
"ASV1801","ASV1801",16.6467829069201,7.40796350274626,2.17805094302045,3.4011892726775,0.000670933560449297,0.00193022424313875,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter_panaciterrae"
"ASV1817","ASV1817",14.2877385970425,-7.37098785572748,2.15898409265349,-3.41410012274255,0.000639930544608726,0.00185243052386737,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Unclassified","Unclassified"
"ASV1820","ASV1820",16.691394654648,-7.59543760874464,1.37201606287643,-5.53596842942262,3.09513320049542e-08,1.96867315813825e-07,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","MND1","Unclassified"
"ASV1822","ASV1822",14.7575426201238,7.2344258942314,1.23319796677161,5.86639460099857,4.45373152302566e-09,3.06194042208014e-08,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Segetibacter","Unclassified"
"ASV1827","ASV1827",13.6539008805051,2.8636099683437,1.23739419087212,2.31422612896332,0.0206553214205503,0.0363021156545386,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Luteimonas","Unclassified"
"ASV1828","ASV1828",13.4530998708027,2.59822264621664,1.16319966342953,2.23368586486361,0.0255037497060048,0.0428079413657345,"Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Nonomuraea","Unclassified"
"ASV1868","ASV1868",14.1208632288404,7.17082610947282,1.2255283677787,5.85121185115455,4.88004154396839e-09,3.33053930190543e-08,"Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Unclassified"
"ASV1869","ASV1869",3.40766166141812,5.11915961531138,2.15808812066438,2.3720809017453,0.0176882172239698,0.031989329022073,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","Methylotenera","Unclassified"
"ASV1870","ASV1870",14.1964850274185,-7.36177262100885,1.81371558412542,-4.05894545178025,4.9294825979304e-05,0.000184362649162597,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Unclassified","Unclassified"
"ASV1876","ASV1876",12.8970921106331,7.04031736877891,1.22474530975357,5.74839300278317,9.00956311259952e-09,6.06038957574141e-08,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter","Unclassified"
"ASV1877","ASV1877",14.4893556117487,3.6763311110341,1.63077492417337,2.25434611272161,0.0241744024982431,0.0411324109644159,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Unclassified"
"ASV1880","ASV1880",16.1265471018367,-7.54559984226385,1.22667201380193,-6.15127740534092,7.68613450107996e-10,5.74922860680781e-09,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Opitutus","Unclassified"
"ASV1906","ASV1906",15.4703589259247,-2.77876285729617,1.10106460809152,-2.52370554541084,0.0116125151124748,0.022113445275283,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Unclassified","Unclassified"
"ASV1907","ASV1907",13.1676583199731,7.07062618470404,1.23163445281072,5.74084799963829,9.42036190763701e-09,6.24683573307844e-08,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Unclassified","Unclassified"
"ASV1931","ASV1931",15.5924994242086,-7.49705349492709,1.66158559343164,-4.51198754043333,6.42229617078047e-06,2.87313249745442e-05,"Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Unclassified"
"ASV1932","ASV1932",10.3560027722104,-6.90662676800513,1.80473928176805,-3.82693879264317,0.00012974676051494,0.000447650262293245,"Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","Unclassified"
"ASV1941","ASV1941",14.515802350136,7.21031734056236,1.86225372086396,3.87182329656846,0.000108024255326894,0.000379709318536263,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga","Unclassified"
"ASV1943","ASV1943",7.4198307858663,20.6203447326918,2.77633928059243,7.4271703306707,1.10945456320643e-13,1.36492107447107e-12,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Unclassified"
"ASV1953","ASV1953",15.2556821403986,-7.4656654373321,1.3704573187526,-5.44757237980049,5.10619388231134e-08,3.16178230461e-07,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Unclassified","Unclassified"
"ASV1954","ASV1954",13.6185960925131,-7.301727131339,2.15333305736022,-3.39089538721438,0.000696646870336865,0.00199194135707942,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Unclassified","Unclassified"
"ASV1969","ASV1969",3.91846381972325,5.32225258730375,2.33797192188427,2.27643990823223,0.0228196933758156,0.0392213479896831,"Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Dactylosporangium","Unclassified"
"ASV2007","ASV2007",12.6911774801556,7.01688649480411,1.07822295066311,6.50782520487871,7.62465620863164e-11,6.4809577773369e-10,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","A21b","Unclassified","Unclassified"
"ASV2008","ASV2008",11.5790154959849,6.88489785892709,1.3670350719833,5.03637251159802,4.74436844243472e-07,2.49212612004296e-06,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Unclassified","Unclassified"
"ASV2009","ASV2009",12.1617131314075,6.95549749863457,1.81484949589088,3.83254783076117,0.000126822931184493,0.000439183113546301,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Opitutus","Unclassified"
"ASV2011","ASV2011",12.5609579925481,7.00199286806799,1.51967333847388,4.60756446191238,4.07412920390339e-06,1.90465540282484e-05,"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41","Unclassified"
"ASV2017","ASV2017",6.70882146991618,6.09752760768686,1.80323844383839,3.38143168393616,0.00072109160914915,0.00204930290138132,"Bacteria","Armatimonadota","Chthonomonadetes","Chthonomonadales","Chthonomonadaceae","Chthonomonas","Unclassified"
"ASV2025","ASV2025",12.2773197413247,6.96939108294734,1.37094639114962,5.08363501880121,3.70279144597182e-07,2.00121965432581e-06,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Terrabacter","Unclassified"
"ASV2036","ASV2036",10.4262186530519,-6.91641907920074,1.96864610721882,-3.51328715396787,0.000442598863205185,0.00136577536995659,"Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","Unclassified"
"ASV2040","ASV2040",13.394509089727,7.09439686263535,1.82447475081637,3.88845987562225,0.000100882343697027,0.000358650157249887,"Bacteria","Actinobacteriota","Rubrobacteria","Rubrobacterales","Rubrobacteriaceae","Rubrobacter","Unclassified"
"ASV2051","ASV2051",12.4793729595832,6.99262851888507,1.81595671061563,3.85065815611567,0.000117800828781823,0.000412523501539341,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Segetibacter","Segetibacter_koreensis"
"ASV2077","ASV2077",12.5444833688838,6.99998870728662,1.3712357593955,5.10487613769095,3.31011254175248e-07,1.82056189796386e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","SC-I-84","Unclassified","Unclassified"
"ASV2082","ASV2082",12.4105784726618,6.98466213722626,1.37158866636559,5.09238834390059,3.53580945690054e-07,1.92208246639651e-06,"Bacteria","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","Candidatus Solibacter","Unclassified"
"ASV2085","ASV2085",12.3476984287624,6.97731331443519,1.5119273139512,4.61484705650367,3.93384899632319e-06,1.85400502041923e-05,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter","Unclassified"
"ASV2087","ASV2087",5.08286112745123,5.69734051195883,1.96520901462152,2.89910155590044,0.00374233658089105,0.00859725971285782,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Acidibacter","Unclassified"
"ASV2100","ASV2100",13.9577294366822,-7.33742874875029,1.37039350276289,-5.3542495158924,8.59122407768424e-08,5.25019249191815e-07,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","Unclassified"
"ASV2116","ASV2116",11.8936757965364,6.92323750189599,2.34860809086928,2.9478045012327,0.00320039388471451,0.00748092070552016,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Ellin6055","Unclassified"
"ASV2123","ASV2123",12.4470306406741,6.98860804438348,1.51766600198651,4.60483929615339,4.12784498541879e-06,1.9201666971973e-05,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter","Unclassified"
"ASV2125","ASV2125",13.8609205769288,-7.32724919367497,1.08413922722098,-6.75858691365425,1.39344051996737e-11,1.31602715774696e-10,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Unclassified","Unclassified"
"ASV2128","ASV2128",13.6758519072331,-7.30791862935677,1.65600506043568,-4.41298085612982,1.01957015094686e-05,4.37292702355647e-05,"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41","Unclassified"
"ASV2131","ASV2131",12.0415657471024,6.94109181477886,1.51699088125513,4.57556594475763,4.74934331411273e-06,2.18750541807655e-05,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","Unclassified"
"ASV2132","ASV2132",13.9780271882397,-7.3392096824753,1.51345458433095,-4.84930949263982,1.23891990885392e-06,6.16164954669372e-06,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas","Terrimonas_arctica"
"ASV2135","ASV2135",12.1846720692783,4.02022528231079,1.4691424531741,2.73644347668604,0.00621072636003087,0.013138074992373,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter","Unclassified"
"ASV2143","ASV2143",13.4266925575485,-5.99039337030706,1.53019198329104,-3.9147985584288,9.04797163573284e-05,0.000324132317218782,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Unclassified","Unclassified"
"ASV2145","ASV2145",6.82483693091555,6.12230271756594,2.13960245462883,2.86142068323062,0.00421747018464522,0.00950657519624279,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas","Terrimonas_crocea"
"ASV2152","ASV2152",9.14199246923131,6.54361085467329,1.97497786618847,3.31325781756829,0.000922159315862294,0.00252309893889959,"Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Unclassified","Unclassified"
"ASV2155","ASV2155",11.8064172315273,-7.09565026743849,1.09773646718439,-6.46389227246708,1.02043530917356e-10,8.44342490333879e-10,"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Unclassified","Unclassified"
"ASV2158","ASV2158",10.3611914566747,6.72491976180858,1.97201907062982,3.41016974022508,0.000649224601343705,0.00187353395758137,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga","Unclassified"
"ASV2163","ASV2163",11.8903613217642,6.922575513373,1.36822619256939,5.05952564785586,4.20300743994452e-07,2.24560683219893e-06,"Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","Unclassified","Unclassified"
"ASV2167","ASV2167",7.60894820587933,6.279662016974,1.36705320691218,4.59357542575695,4.357154310684e-06,2.01680162400472e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium-Methylorubrum","Unclassified"
"ASV2168","ASV2168",10.9100656364677,4.91014044711018,1.40886371893213,3.48517772239311,0.000491810268916255,0.00149299545921006,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rubellimicrobium","Unclassified"
"ASV2177","ASV2177",9.0277532550165,-6.70879898484383,2.34222352956635,-2.86428639289006,0.00417949939321617,0.00946206279093734,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Acidibacter","Unclassified"
"ASV2184","ASV2184",12.9750370552274,-7.23207405594346,1.80853415792221,-3.99885953177255,6.36484391751846e-05,0.00023337761030901,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter","Unclassified"
"ASV2187","ASV2187",13.3176645599502,-7.26947360637566,1.9764060476149,-3.67812758676203,0.000234952431020255,0.000776256265031583,"Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup 10","Unclassified"
"ASV2192","ASV2192",10.6712643947134,6.76717459605612,1.97318042184179,3.42957720497731,0.000604522421831047,0.00176633895128759,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter","Unclassified"
"ASV2200","ASV2200",13.0273324418904,-7.23788618267133,1.22146929935176,-5.92555718470576,3.11240248929783e-09,2.18804235149885e-08,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Acidibacter","Unclassified"
"ASV2201","ASV2201",13.2335648003774,-7.26030794203999,1.52083257933442,-4.77390347938062,1.80689005444266e-06,8.89180105738887e-06,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Unclassified","Unclassified"
"ASV2210","ASV2210",9.16923714296787,6.54803882242708,1.50543172935681,4.34960861707404,1.36380720472246e-05,5.71820509603364e-05,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter","Unclassified"
"ASV2214","ASV2214",11.4597024071018,6.86940096471328,1.51637528126691,4.53014570309666,5.89430225878346e-06,2.67532651066142e-05,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","Unclassified"
"ASV2215","ASV2215",12.8229601647728,-4.66990369563007,1.31833585055849,-3.54227164015282,0.00039669673426706,0.00123637148846567,"Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella","Unclassified"
"ASV2225","ASV2225",11.2522297774834,6.84314896794213,1.51109686428168,4.52859715991476,5.93765773319494e-06,2.68198549784409e-05,"Bacteria","Gemmatimonadota","Longimicrobia","Longimicrobiales","Longimicrobiaceae","YC-ZSS-LKJ147","Unclassified"
"ASV2226","ASV2226",12.3736460415481,-7.16365966934985,1.08477357822438,-6.60382941947734,4.00670535384536e-11,3.46876806096797e-10,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","mle1-7","Unclassified"
"ASV2228","ASV2228",10.7381637450152,6.77595554506859,1.97699283478705,3.42740521151077,0.00060937900651929,0.00177498246447207,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter","Unclassified"
"ASV2244","ASV2244",5.5958616509967,5.83680341241714,2.53815325517674,2.29962607675977,0.0214694134304332,0.0375915759502904,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Unclassified","Unclassified"
"ASV2259","ASV2259",12.8097829524619,-7.21324293416067,1.36760874860469,-5.27434687846213,1.33229701785215e-07,7.64231724964271e-07,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Unclassified","Unclassified"
"ASV2273","ASV2273",2.76281711119188,4.81821052782475,1.98350200320663,2.42914326279246,0.015134550695974,0.0280910032954342,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Unclassified","Unclassified"
"ASV2292","ASV2292",12.1804842979632,-7.14097500527323,1.51307168911733,-4.71952192129048,2.36399571058964e-06,1.14525180797996e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","Unclassified"
"ASV2303","ASV2303",10.7877653830605,6.78239205202409,1.3681286742145,4.95742263125808,7.14344740599178e-07,3.66984798055072e-06,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14","Unclassified","Unclassified"
"ASV2333","ASV2333",10.83153470704,6.78805737729934,1.51340922231936,4.48527554688506,7.28197669965957e-06,3.24221343532462e-05,"Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","Unclassified","Unclassified"
"ASV2334","ASV2334",9.90686665383008,6.65976449859903,2.34067955851721,2.84522692325211,0.00443797941921781,0.00983296387907265,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter","Unclassified"
"ASV2339","ASV2339",3.36564620487656,-5.28556831429582,1.80067250648441,-2.93533015873898,0.00333192958502985,0.0077689629975135,"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Unclassified","Unclassified"
"ASV2342","ASV2342",9.64224180213766,6.6208401919299,2.3428785863759,2.82594250953968,0.00471417241061037,0.0103468338120204,"Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Unclassified","Unclassified"
