"ASV","log2FoldChange","deseq_pvalue","deseq_padj","wilcox_pvalue","wilcox_padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV873",8.46424715101525,1.54873861232606e-15,2.89614120504973e-14,1.00628071481634e-05,0.000246762042232163,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","Unclassified"
"ASV877",-8.96782075835625,3.69473341519197e-13,4.11259017048154e-12,3.74112021791021e-05,0.000528162637153206,"Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter","Unclassified"
"ASV891",-8.92245695292734,2.96864966948096e-17,8.67402325301469e-16,1.02689156151545e-05,0.000246762042232163,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Arcticibacter","Unclassified"
"ASV896",7.04073123099209,1.2311582387824e-08,7.99397884209402e-08,3.75846071382431e-05,0.000528162637153206,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Paenarthrobacter","Unclassified"
"ASV897",-2.52211873142441,0.00196807882581142,0.00486276713442562,3.49027353797127e-05,0.000528162637153206,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Ellin517","Unclassified"
"ASV903",-8.91712598108461,4.39387485283073e-13,4.72215285907671e-12,3.72384233201691e-05,0.000528162637153206,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Paenisporosarcina","Unclassified"
"ASV908",8.53697481162349,9.70293848237561e-16,1.89005155854608e-14,1.02689156151545e-05,0.000246762042232163,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Unclassified","Unclassified"
"ASV916",8.48429914894373,8.96951313076444e-16,1.78436059090739e-14,1.01654393312803e-05,0.000246762042232163,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter","Unclassified"
"ASV919",-4.71399951063602,0.000346588019533849,0.00110224421178282,1.40571054599678e-05,0.000321716267179784,"Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Modestobacter","Unclassified"
"ASV926",8.49203891784136,8.04993062074342e-16,1.63623589791198e-14,1.01140180446834e-05,0.000246762042232163,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Ellin517","Unclassified"
"ASV929",7.39379726623916,8.93038955359153e-08,5.38704144039231e-07,0.000125308727883931,0.00138763535993127,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","Unclassified"
