"ASV","P_Value","Adjusted_P_Value","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV1228",9.96101399137803e-06,0.000246762042232163,"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","Stenotrophobacter",NA
"ASV1231",3.72384233201691e-05,0.000528162637153206,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Tardiphaga","Tardiphaga_robiniae"
"ASV1246",3.74112021791021e-05,0.000528162637153206,"Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides_islandensis"
"ASV1250",3.74112021791021e-05,0.000528162637153206,"Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Sporichthyaceae",NA,NA
"ASV1254",1.0217071642797e-05,0.000246762042232163,"Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas",NA
"ASV1258",1.0217071642797e-05,0.000246762042232163,"Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Koribacteraceae","Candidatus Koribacter",NA
"ASV1260",3.74112021791021e-05,0.000528162637153206,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae",NA,NA
"ASV1261",0.000383391726577478,0.00327861323475331,"Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides",NA
"ASV1265",0.00285558548609658,0.0172845640380103,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA
"ASV1267",1.0217071642797e-05,0.000246762042232163,"Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter",NA
"ASV1270",3.75846071382431e-05,0.000528162637153206,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga",NA
"ASV1273",1.0217071642797e-05,0.000246762042232163,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Parafilimonas",NA
"ASV1278",3.72384233201691e-05,0.000528162637153206,"Bacteria","Firmicutes","Bacilli","Thermoactinomycetales","Thermoactinomycetaceae","Thermoflavimicrobium",NA
"ASV1282",0.000837963284739128,0.00687244291204138,"Bacteria","Myxococcota","Polyangia","Polyangiales","BIrii41",NA,NA
"ASV1286",0.00108047350717373,0.00778530827631822,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Psychrobacillus",NA
"ASV1291",0.00461804774048967,0.0276048973144196,"Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia",NA
"ASV1297",3.70662690139983e-05,0.000528162637153206,"Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus",NA
"ASV1301",0.000799571591874696,0.00660167386665741,"Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae",NA,NA
"ASV1308",1.00118060079565e-05,0.000246762042232163,"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","JGI 0001001-H03",NA
"ASV131",1.0217071642797e-05,0.000246762042232163,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","IS-44",NA
"ASV1314",1.01654393312803e-05,0.000246762042232163,"Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae",NA,NA
"ASV1331",0.000863138527636601,0.00705483633302977,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA
"ASV1333",0.000125308727883931,0.00138763535993127,"Bacteria","Actinobacteriota","Rubrobacteria","Rubrobacterales","Rubrobacteriaceae","Rubrobacter",NA
"ASV1341",0.00285558548609658,0.0172845640380103,"Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae",NA,NA
"ASV1352",0.00108433256167357,0.00778530827631822,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae",NA,NA
"ASV1369",1.0217071642797e-05,0.000246762042232163,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","TRA3-20",NA,NA
"ASV1386",0.00177700124191232,0.0125962654404581,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter","Flavisolibacter_rigui"
