Sample_name16S,Sample_nameVER,Experiment,Sample_or_control,Incubation,Soil,Treatment
HD4379-S14,HD4379-S14,plots5_samples20,sample,NA,NA,NA
HD4379-S15,HD4379-S15,plots5_samples20,sample,NA,NA,NA
HD4379-S16,HD4379-S16,plots5_samples20,sample,NA,NA,NA
HD4379-S17,HD4379-S17,plots5_samples20,sample,NA,NA,NA
HD4379-S18,HD4379-S18,plots5_samples20,sample,NA,NA,NA
HD4379-S19,HD4379-S19,plots5_samples20,sample,NA,NA,NA
HD4379-S2,HD4379-S2,plots5_samples20,sample,NA,NA,NA
HD4379-S20,HD4379-S20,plots5_samples20,sample,NA,NA,NA
HD4379-S3,HD4379-S3,plots5_samples20,sample,NA,NA,NA
HD4379-S4,HD4379-S4,plots5_samples20,sample,NA,NA,NA
HD4379-S5,HD4379-S5,plots5_samples20,sample,NA,NA,NA
HD4379-S6,HD4379-S6,plots5_samples20,sample,NA,NA,NA
HD4379-S7,HD4379-S7,plots5_samples20,sample,NA,NA,NA
HD4379-S8,HD4379-S8,plots5_samples20,sample,NA,NA,NA
HD4379-S9,HD4379-S9,plots5_samples20,sample,NA,NA,NA
HD4380-S1,HD4380-S1,basetree_100plots,sample,NA,NA,NA
HD4381-S1,HD4381-S1,basetree_100plots,sample,NA,NA,NA
HD4382-S1,HD4382-S1,basetree_100plots,sample,NA,NA,NA
HD4383-S1,HD4383-S1,basetree_100plots,sample,NA,NA,NA
HD4384-S1,HD4384-S1,basetree_100plots,sample,NA,NA,NA
HD4385-S1,HD4385-S1,basetree_100plots,sample,NA,NA,NA
HD4386-S1,HD4386-S1,basetree_100plots,sample,NA,NA,NA
HD4387-S1,HD4387-S1,basetree_100plots,sample,NA,NA,NA
HD4388-S1,HD4388-S1,basetree_100plots,sample,NA,NA,NA
HD4389-S1,HD4389-S1,basetree_100plots,sample,NA,NA,NA
HD4390-S1,HD4390-S1,basetree_100plots,sample,NA,NA,NA
HD4390trim-S1,HD4390-S1,basetree_100plots,sample,NA,NA,NA
HD4391-S1,HD4391-S1,basetree_100plots,sample,NA,NA,NA
HD4392-S1,HD4392-S1,basetree_100plots,sample,NA,NA,NA
HD4396-S1,HD4396-S1,basetree_100plots,sample,NA,NA,NA
HD4397-S10,HD4397-S10,plots5_samples20,sample,NA,NA,NA
HD4397-S11,HD4397-S11,plots5_samples20,sample,NA,NA,NA
HD4397-S112_16,HD4397-S1-12_16,plots5_samples20,sample,NA,NA,NA
HD4397-S112_6,HD4397-S1-12_6,basetree_100plots,sample,NA,NA,NA
HD4397-S12,HD4397-S12,plots5_samples20,sample,NA,NA,NA
HD4397-S13,HD4397-S13,plots5_samples20,sample,NA,NA,NA
HD4397-S14,HD4397-S14,plots5_samples20,sample,NA,NA,NA
HD4397-S15,HD4397-S15,plots5_samples20,sample,NA,NA,NA
HD4397-S16,HD4397-S16,plots5_samples20,sample,NA,NA,NA
HD4397-S17,HD4397-S17,plots5_samples20,sample,NA,NA,NA
HD4397-S18,HD4397-S18,plots5_samples20,sample,NA,NA,NA
HD4397-S19,HD4397-S19,plots5_samples20,sample,NA,NA,NA
HD4397-S2,HD4397-S2,plots5_samples20,sample,NA,NA,NA
HD4397-S20,HD4397-S20,plots5_samples20,sample,NA,NA,NA
HD4397-S3,HD4397-S3,plots5_samples20,sample,NA,NA,NA
HD4397-S4,HD4397-S4,plots5_samples20,sample,NA,NA,NA
HD4397-S5,HD4397-S5,plots5_samples20,sample,NA,NA,NA
HD4397-S6,HD4397-S6,plots5_samples20,sample,NA,NA,NA
HD4397-S7,HD4397-S7,plots5_samples20,sample,NA,NA,NA
HD4397-S812_23,HD4397-S812_23,plots5_samples20,sample,NA,NA,NA
HD4397-S9,HD4397-S9,plots5_samples20,sample,NA,NA,NA
HD4397trim-S15,HD4397-S9,plots5_samples20,sample,NA,NA,NA
HD4398-S1,HD4398-S1,basetree_100plots,sample,NA,NA,NA
HD4399-S1,HD4399-S1,basetree_100plots,sample,NA,NA,NA
10gEP114,10gEP114,ebba,sample,NA,NA,NA
10gHD4371,10gHD4371,10g,sample,NA,NA,NA
114-2152-PSME,114-2152-PSME,ebba,sample,NA,NA,NA
114-2164-PSME,114-2164-PSME,ebba,sample,NA,NA,NA
114-2170-4-NODE3,114-2170-4-NODE3,ebba,sample,NA,NA,NA
114-2177-1-NODE3,114-2177-1-NODE3,ebba,sample,NA,NA,NA
114-2191-1-ARME,114-2191-1-ARME,ebba,sample,NA,NA,NA
114-2203-1-NODE3,114-2203-1-NODE3,ebba,sample,NA,NA,NA
114-2211-2-NODE3,114-2211-2-NODE3,ebba,sample,NA,NA,NA
114-2228-2-ARME,114-2228-2-ARME,ebba,sample,NA,NA,NA
114-2237-PSME,114-2237-PSME,ebba,sample,NA,NA,NA
114-2277-NODE3,114-2277-NODE3,ebba,sample,NA,NA,NA
114-center-rebar,114-center-rebar,ebba,sample,NA,NA,NA
114-east-rebar,114-east-rebar,ebba,sample,NA,NA,NA
114-north-rebar,114-north-rebar,ebba,sample,NA,NA,NA
114-south-rebar,114-south-rebar,ebba,sample,NA,NA,NA
114-west-rebar,114-west-rebar,ebba,sample,NA,NA,NA
HD3901-S1-4401,HD3901-S1_4401,basetree_100plots,sample,NA,NA,NA
HD3902-S1-4400,HD3902-S1_4400,basetree_100plots,sample,NA,NA,NA
HD4301-S1,HD4301-S1,basetree_100plots,sample,NA,NA,NA
HD4308-S1,HD4308-S1,basetree_100plots,sample,NA,NA,NA
HD4309-S1,HD4309-S1,basetree_100plots,sample,NA,NA,NA
HD4310-S1,HD4310-S1,basetree_100plots,sample,NA,NA,NA
HD4311-S1,HD4311-S1,basetree_100plots,sample,NA,NA,NA
HD4312-S1,HD4312-S1,basetree_100plots,sample,NA,NA,NA
HD4313-S1,HD4313-S1,basetree_100plots,sample,NA,NA,NA
HD4314-S1,HD4314-S1,basetree_100plots,sample,NA,NA,NA
HD4315-S1,HD4315-S1,basetree_100plots,sample,NA,NA,NA
HD4316-S1,HD4316-S1,basetree_100plots,sample,NA,NA,NA
HD4317-S1,HD4317-S1,basetree_100plots,sample,NA,NA,NA
HD4318-S1,HD4318-S1,basetree_100plots,sample,NA,NA,NA
HD4319-S1,HD4319-S1,basetree_100plots,sample,NA,NA,NA
HD4320-S1,HD4320-S1,basetree_100plots,sample,NA,NA,NA
HD4321-S10,HD4321-S10,plots5_samples20,sample,NA,NA,NA
HD4321-S11,HD4321-S11,plots5_samples20,sample,NA,NA,NA
HD4321-S111_19,HD4321-S1-11_19,basetree_100plots,sample,NA,NA,NA
HD4321-S112_9,HD4321-S1-12_9,plots5_samples20,sample,NA,NA,NA
HD4321-S12,HD4321-S12,plots5_samples20,sample,NA,NA,NA
HD4321-S13,HD4321-S13,plots5_samples20,sample,NA,NA,NA
HD4321-S14,HD4321-S14,plots5_samples20,sample,NA,NA,NA
HD4321-S15,HD4321-S15,plots5_samples20,sample,NA,NA,NA
HD4321-S16,HD4321-S16,plots5_samples20,sample,NA,NA,NA
HD4321-S17,HD4321-S17,plots5_samples20,sample,NA,NA,NA
HD4321-S18,HD4321-S18,plots5_samples20,sample,NA,NA,NA
HD4321-S19,HD4321-S19,plots5_samples20,sample,NA,NA,NA
HD4321-S2,HD4321-S2,plots5_samples20,sample,NA,NA,NA
HD4321-S20,HD4321-S20,plots5_samples20,sample,NA,NA,NA
HD4321-S3,HD4321-S3,plots5_samples20,sample,NA,NA,NA
HD4321-S4,HD4321-S4,plots5_samples20,sample,NA,NA,NA
HD4321-S5,HD4321-S5,plots5_samples20,sample,NA,NA,NA
HD4321-S6,HD4321-S6,plots5_samples20,sample,NA,NA,NA
HD4321-S7,HD4321-S7,plots5_samples20,sample,NA,NA,NA
HD4321-S8,HD4321-S8,plots5_samples20,sample,NA,NA,NA
HD4321-S9,HD4321-S9,plots5_samples20,sample,NA,NA,NA
HD4322-S1,HD4322-S1,basetree_100plots,sample,NA,NA,NA
HD4323-S1,HD4323-S1,basetree_100plots,sample,NA,NA,NA
HD4325-S1,HD4325-S1,basetree_100plots,sample,NA,NA,NA
HD4326-S1,HD4326-S1,basetree_100plots,sample,NA,NA,NA
HD4327-S1,HD4327-S1,basetree_100plots,sample,NA,NA,NA
HD4328-S1,HD4328-S1,basetree_100plots,sample,NA,NA,NA
HD4329-S1,HD4329-S1,basetree_100plots,sample,NA,NA,NA
HD4330-S1,HD4330-S1,basetree_100plots,sample,NA,NA,NA
HD4335-S1,HD4335-S1,basetree_100plots,sample,NA,NA,NA
HD4336-S10,HD4336-S10,plots5_samples20,sample,NA,NA,NA
HD4336-S11,HD4336-S11,plots5_samples20,sample,NA,NA,NA
HD4336-S111_23,HD4336-S1-11_23,basetree_100plots,sample,NA,NA,NA
HD4336-S112_15,HD4336-S1-12_15,plots5_samples20,sample,NA,NA,NA
HD4336-S12,HD4336-S12,plots5_samples20,sample,NA,NA,NA
HD4336-S13,HD4336-S13,plots5_samples20,sample,NA,NA,NA
HD4336-S14,HD4336-S14,plots5_samples20,sample,NA,NA,NA
HD4336-S15,HD4336-S15,plots5_samples20,sample,NA,NA,NA
HD4336-S16,HD4336-S16,plots5_samples20,sample,NA,NA,NA
HD4336-S17,HD4336-S17,plots5_samples20,sample,NA,NA,NA
HD4336-S18,HD4336-S18,plots5_samples20,sample,NA,NA,NA
HD4336-S19,HD4336-S19,plots5_samples20,sample,NA,NA,NA
HD4336-S2,HD4336-S2,plots5_samples20,sample,NA,NA,NA
HD4336-S20,HD4336-S20,plots5_samples20,sample,NA,NA,NA
HD4336-S3,HD4336-S3,plots5_samples20,sample,NA,NA,NA
HD4336-S4,HD4336-S4,plots5_samples20,sample,NA,NA,NA
HD4336-S5,HD4336-S5,plots5_samples20,sample,NA,NA,NA
HD4336-S6,HD4336-S6,plots5_samples20,sample,NA,NA,NA
HD4336-S7,HD4336-S7,plots5_samples20,sample,NA,NA,NA
HD4336-S8,HD4336-S8,plots5_samples20,sample,NA,NA,NA
HD4336-S9,HD4336-S9,plots5_samples20,sample,NA,NA,NA
HD4338-S1,HD4338-S1,basetree_100plots,sample,NA,NA,NA
HD4342-S1,HD4342-S1,basetree_100plots,sample,NA,NA,NA
HD4344-S1,HD4344-S1,basetree_100plots,sample,NA,NA,NA
HD4345-S1,HD4345-S1,basetree_100plots,sample,NA,NA,NA
HD4346-S1,HD4346-S1,basetree_100plots,sample,NA,NA,NA
HD4347-S1,HD4347-S1,basetree_100plots,sample,NA,NA,NA
HD4348-S1,HD4348-S1,basetree_100plots,sample,NA,NA,NA
HD4350-S1,HD4350-S1,basetree_100plots,sample,NA,NA,NA
HD4351-S1,HD4351-S1,basetree_100plots,sample,NA,NA,NA
HD4352-S1,HD4352-S1,basetree_100plots,sample,NA,NA,NA
HD4353-S1,HD4353-S1,basetree_100plots,sample,NA,NA,NA
HD4354-S1,HD4354-S1,basetree_100plots,sample,NA,NA,NA
HD4370-S1,HD4370-S1,control_plot,sample,NA,NA,NA
HD4371-S10,HD4371-S10,plots5_samples20,sample,NA,NA,NA
HD4371-S11,HD4371-S11,plots5_samples20,sample,NA,NA,NA
HD4371-S112_6,HD4371-S1-12_6,control_plot,sample,NA,NA,NA
HD4371-S112_7,HD4371-S1-12_7,plots5_samples20,sample,NA,NA,NA
HD4371-S12,HD4371-S12,plots5_samples20,sample,NA,NA,NA
HD4371-S13,HD4371-S13,plots5_samples20,sample,NA,NA,NA
HD4371-S14,HD4371-S14,plots5_samples20,sample,NA,NA,NA
HD4371-S15,HD4371-S15,plots5_samples20,sample,NA,NA,NA
HD4371-S16,HD4371-S16,plots5_samples20,sample,NA,NA,NA
HD4371-S17,HD4371-S17,plots5_samples20,sample,NA,NA,NA
HD4371-S18,HD4371-S18,plots5_samples20,sample,NA,NA,NA
HD4371-S19,HD4371-S19,plots5_samples20,sample,NA,NA,NA
HD4371-S2,HD4371-S2,plots5_samples20,sample,NA,NA,NA
HD4371-S20,HD4371-S20,plots5_samples20,sample,NA,NA,NA
HD4371-S3,HD4371-S3,plots5_samples20,sample,NA,NA,NA
HD4371-S4,HD4371-S4,plots5_samples20,sample,NA,NA,NA
HD4371-S5,HD4371-S5,plots5_samples20,sample,NA,NA,NA
HD4371-S6,HD4371-S6,plots5_samples20,sample,NA,NA,NA
HD4371-S7,HD4371-S7,plots5_samples20,sample,NA,NA,NA
HD4371-S8,HD4371-S8,plots5_samples20,sample,NA,NA,NA
HD4371-S9,HD4371-S9,plots5_samples20,sample,NA,NA,NA
HD4372-S1,HD4372-S1,basetree_100plots,sample,NA,NA,NA
HD4373-S1,HD4373-S1,basetree_100plots,sample,NA,NA,NA
HD4374-S1,HD4374-S1,basetree_100plots,sample,NA,NA,NA
HD4375-S1,HD4375-S1,basetree_100plots,sample,NA,NA,NA
HD4393-S1,HD4393-S1,basetree_100plots,sample,NA,NA,NA
HD4394-S1,HD4394-S1,basetree_100plots,sample,NA,NA,NA
HD4395-S1,HD4395-S1,basetree_100plots,sample,NA,NA,NA
HD4303-S1,HD4303-S1,basetree_100plots,sample,NA,NA,NA
HD4304-S1,HD4304-S1,basetree_100plots,sample,NA,NA,NA
HD4305-S1,HD4305-S1,basetree_100plots,sample,NA,NA,NA
HD4306-S1,HD4306-S1,basetree_100plots,sample,NA,NA,NA
HD4307-S1,HD4307-S1,basetree_100plots,sample,NA,NA,NA
HD4324-S1,HD4324-S1,basetree_100plots,sample,NA,NA,NA
HD4331-S1,HD4331-S1,basetree_100plots,sample,NA,NA,NA
HD4332-S1,HD4332-S1,basetree_100plots,sample,NA,NA,NA
HD4333-S1,HD4333-S1,basetree_100plots,sample,NA,NA,NA
HD4334-S1,HD4334-S1,basetree_100plots,sample,NA,NA,NA
HD4361-S1,HD4361-S1,basetree_100plots,sample,NA,NA,NA
HD4362-S1,HD4362-S1,basetree_100plots,sample,NA,NA,NA
HD4363-S1,HD4363-S1,basetree_100plots,sample,NA,NA,NA
HD4364-S1,HD4364-S1,basetree_100plots,sample,NA,NA,NA
