"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Abundance","Prevalence","Total_Abundance","Percentage"
"41","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Chrysosporium","Chrysosporium_lobatum",350,9,305864,0.11442994271964
"42","Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Trichosporiella","Trichosporiella_multisporum",2165,15,305864,0.707830931394345
"43","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Crocicreas","Crocicreas_pallidum",109,3,305864,0.0356367535898308
"44","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Glarea","Glarea_lozoyensis",1470,12,305864,0.480605759422488
"45","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","Oidiodendron_tenuissimum",29,2,305864,0.00948133811105589
"46","Fungi","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Stromatinia","Stromatinia_cepivora",1439,10,305864,0.470470535924463
"47","Fungi","Ascomycota","Leotiomycetes","Helotiales","Vandijckellaceae","Vandijckella","Vandijckella_johannae",84,5,305864,0.0274631862527136
"48","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Hyalorbilia","Hyalorbilia_leguminacea",26,5,305864,0.00850051003060184
"49","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Spooneromyces","Spooneromyces_laeticolor",960,8,305864,0.313864985745299
"50","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Wickerhamomyces","Wickerhamomyces_onychis",249,9,305864,0.0814087306776868
"51","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","Candida_sake",45,6,305864,0.0147124212068109
"52","Fungi","Ascomycota","Sordariomycetes","Atractosporales","Conlariaceae","Conlarium","Conlarium_sacchari",15,2,305864,0.00490414040227029
"53","Fungi","Ascomycota","Sordariomycetes","Chaetosphaeriales","Chaetosphaeriaceae","Chloridium","Chloridium_aseptatum",1989,12,305864,0.65028901734104
"54","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Acrostalagmus","Acrostalagmus_luteoalbus",111,5,305864,0.0362906389768001
"55","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Furcasterigmium","Furcasterigmium_furcatum",995,11,305864,0.325307980017263
"56","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Gibellulopsis","Gibellulopsis_nigrescens",13540,24,305864,4.42680406978265
"57","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Gibellulopsis","Gibellulopsis_piscis",82,2,305864,0.0268093008657443
