"ASV","P_Value","Adjusted_P_Value","Kingdom","Phylum","Class","Order","Family","Genus","Species","boot.Kingdom","boot.Phylum","boot.Class","boot.Order","boot.Family","boot.Genus","boot.Species"
"ASV785",1.02689156151545e-05,0.000240219275997365,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales",NA,NA,NA,"100","100","76","64","39","11","11"
"ASV805",0.00200043455006343,0.0119116784571959,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Ophiosphaerella",NA,"100","100","100","100","99","79","75"
"ASV852",0.00285558548609658,0.0141697613135853,"Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Hyaloriaceae","Hyaloriaceae_gen_Incertae_sedis",NA,"100","100","100","100","100","98","98"
"ASV873",0.000125308727883931,0.00115601713752077,"Fungi","Ascomycota","Eurotiomycetes","Onygenales","Arachnomycetaceae","Arachnomyces",NA,"100","100","96","95","95","95","93"
"ASV880",1.02689156151545e-05,0.000240219275997365,"Fungi","Ascomycota","Laboulbeniomycetes","Pyxidiophorales","Pyxidiophoraceae","Pyxidiophoraceae_gen_Incertae_sedis",NA,"100","100","100","100","100","99","99"
"ASV887",2.90090275268226e-05,0.000424446856474987,"Fungi","Chytridiomycota","Chytridiomycota_cls_Incertae_sedis","Chytridiomycota_ord_Incertae_sedis","Chytridiomycota_fam_Incertae_sedis","Chytridiomycota_gen_Incertae_sedis",NA,"89","88","88","88","88","88","88"
"ASV890",1.41913958889126e-05,0.000299850461523799,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Amniculicolaceae","Murispora",NA,"100","100","100","99","98","82","49"
"ASV911",0.00285558548609658,0.0141697613135853,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Trichosporiella","Trichosporiella_multisporum","100","100","100","100","94","94","94"
"ASV934",3.75846071382431e-05,0.000424446856474987,"Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Furcasterigmium","Furcasterigmium_furcatum","100","100","100","100","100","100","100"
"ASV97",3.64420272924621e-05,0.000424446856474987,"Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA,"100","100","100","100","58","58","42"
