"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","boot.Kingdom","boot.Phylum","boot.Class","boot.Order","boot.Family","boot.Genus","boot.Species"
"ASV406","ASV406",13.5469551029566,-7.26892755988564,2.07821829797901,-3.49767277429633,0.000469336601096812,0.0011817225134759,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Crocicreas","Unclassified","100","100","100","100","94","69","43"
"ASV431","ASV431",140.852441737173,2.90620002769401,1.04027083628784,2.79369557072719,0.00521095090382128,0.0103485081329409,"Fungi","Chytridiomycota","Rhizophlyctidomycetes","Rhizophlyctidales","Rhizophlyctidaceae","Rhizophlyctis","Rhizophlyctis_rosea","100","100","100","100","100","100","100"
"ASV458","ASV458",73.773234234545,-9.71396033125314,1.08838990169837,-8.9250739244227,4.45401642435935e-19,5.02413052667735e-18,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Sporormia","Unclassified","100","100","100","100","100","100","100"
"ASV465","ASV465",125.909798344098,-26.3281686624795,2.19643707310726,-11.9867620997826,4.16884224161135e-33,3.91871170711467e-31,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Linnemannia","Linnemannia_gamsii","100","100","100","100","100","77","71"
"ASV479","ASV479",111.038338409961,10.1715939237141,1.0422973775466,9.75882137174357,1.69109075556327e-22,2.98054745668026e-21,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae","Knufia","Knufia_tsunedae","100","100","100","100","100","100","78"
"ASV492","ASV492",124.342531561208,-10.4669184461638,1.03436328467352,-10.1191898448595,4.54159184833306e-24,1.06727408435827e-22,"Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Mrakiaceae","Mrakia","Mrakia_blollopis","100","100","100","100","100","100","90"
"ASV496","ASV496",126.643656234346,-10.4933290075929,1.24999590532242,-8.39469070491578,4.67122260661618e-17,4.54236129333022e-16,"Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma","Unclassified","100","100","100","100","100","100","46"
"ASV497","ASV497",109.357240980548,10.1495101232624,1.24164163375866,8.17426691189317,2.97670190135225e-16,2.79809978727112e-15,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Unclassified","100","100","100","100","100","71","30"
"ASV505","ASV505",101.057567324888,10.0356645251475,1.02167125395195,9.82279229872458,8.98204653510158e-23,1.80924080207046e-21,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Unclassified","Unclassified","100","100","100","100","100","8","8"
"ASV514","ASV514",95.7850562765844,9.95847682876342,1.24248361308488,8.0149763939648,1.10158171050084e-15,9.413516435189e-15,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Marquandomyces","Marquandomyces_marquandii","100","100","100","100","100","99","99"
"ASV530","ASV530",106.649925904909,-10.2454578589079,1.02944439187272,-9.95241505009307,2.46136233599529e-23,5.33926291346671e-22,"Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Hyaloriaceae","Hyaloriaceae_gen_Incertae_sedis","Unclassified","100","100","100","100","100","100","100"
"ASV550","ASV550",77.6259360077015,9.65528264543194,1.42833300341951,6.75982605058949,1.38157512102745e-11,9.74010460324353e-11,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Unclassified","Unclassified","Unclassified","100","100","82","81","37","13","13"
"ASV561","ASV561",86.3076799089722,5.71665906763195,1.21051324898377,4.72250846690946,2.3295338820097e-06,8.99902129762651e-06,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria_prunicola","100","100","100","100","100","100","72"
"ASV584","ASV584",64.4494773311987,9.38698273105015,1.83161002308739,5.12498982465019,2.97553815519184e-07,1.35338993510338e-06,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Acremonium","Acremonium_persicinum","100","100","100","100","100","100","100"
"ASV594","ASV594",76.6545643057094,4.77433425722041,1.29674646398407,3.68177927592103,0.000231611892223653,0.000622439070825593,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Unclassified","Unclassified","100","100","100","100","95","39","39"
"ASV602","ASV602",73.7043395873608,9.58043251085317,1.05197628817845,9.10708028166888,8.4628766398881e-20,1.19326560622422e-18,"Fungi","Ascomycota","Sordariomycetes","Chaetosphaeriales","Chaetosphaeriaceae","Chloridium","Chloridium_aseptatum","100","100","100","100","100","99","99"
"ASV606","ASV606",55.0267857665364,3.56148987065672,0.772935813190917,4.60774337257552,4.07062622670359e-06,1.51041657359265e-05,"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","Unclassified","100","100","100","81","81","81","55"
"ASV617","ASV617",81.0020924668067,-9.84871354011807,1.42796240862641,-6.89703978243502,5.3097316664216e-12,3.83934443572024e-11,"Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","Spizellomycetaceae","Gallinipes","Unclassified","100","100","99","99","99","97","97"
"ASV640","ASV640",79.7929709175232,-7.11928558955268,1.19894724889265,-5.9379473084642,2.88612762651061e-09,1.59585880524705e-08,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Edenia","Edenia_gomezpompae","100","100","100","100","70","69","69"
"ASV657","ASV657",66.019572608825,9.42164884865252,1.03579063077999,9.09609390998028,9.3639023473512e-20,1.25743831521573e-18,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Unclassified","Unclassified","100","100","100","100","85","56","28"
"ASV672","ASV672",81.4092744520131,-9.85575891865208,1.62475769445927,-6.06598691747212,1.31145805999992e-09,7.54757495755056e-09,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Tetracladium","Unclassified","100","100","99","99","66","66","43"
