Sample_nameRps10,Experiment,Sample_or_Control,Incubation,Soil,Treatment
HD4382-S1_S82,basetree_100plots,sample,NA,NA,NA
HD4383-S1_S83,basetree_100plots,sample,NA,NA,NA
HD4384-S1_S84,basetree_100plots,sample,NA,NA,NA
HD4388-S1_S88,basetree_100plots,sample,NA,NA,NA
HD4397-S1_S97,basetree_100plots,sample,NA,NA,NA
HD4398-S1_S98,basetree_100plots,sample,NA,NA,NA
HD4399-S1_S99,basetree_100plots,sample,NA,NA,NA
10gEP114_S221,ebba,sample,NA,NA,NA
10gHD4371_S218,10g,sample,NA,NA,NA
114-2152-PSME_2_S259,ebba_extra,sample,NA,NA,NA
114-2152-PSME_S215,ebba,sample,NA,NA,NA
114-2164-PSME_2_S256,ebba_extra,sample,NA,NA,NA
114-2164-PSME_S212,ebba,sample,NA,NA,NA
114-2170-4-NODE3_2_S255,ebba_extra,sample,NA,NA,NA
114-2170-4-NODE3_S211,ebba,sample,NA,NA,NA
114-2177-1-NODE3_2_S253,ebba_extra,sample,NA,NA,NA
114-2177-1-NODE3_S209,ebba,sample,NA,NA,NA
114-2191-1-ARME_2_S258,ebba_extra,sample,NA,NA,NA
114-2191-1-ARME_S214,ebba,sample,NA,NA,NA
114-2203-1-NODE3_2_S252,ebba_extra,sample,NA,NA,NA
114-2203-1-NODE3_S208,ebba,sample,NA,NA,NA
114-2211-2-NODE3_2_S251,ebba_extra,sample,NA,NA,NA
114-2211-2-NODE3_S207,ebba,sample,NA,NA,NA
114-2228-2-ARME_2_S260,ebba_extra,sample,NA,NA,NA
114-2228-2-ARME_S216,ebba,sample,NA,NA,NA
114-2237-PSME_2_S257,ebba_extra,sample,NA,NA,NA
114-2237-PSME_S213,ebba,sample,NA,NA,NA
114-2277-NODE3_2_S254,ebba_extra,sample,NA,NA,NA
114-2277-NODE3_S210,ebba,sample,NA,NA,NA
114-center-rebar_2_S250,ebba_extra,sample,NA,NA,NA
114-center-rebar_S206,ebba,sample,NA,NA,NA
114-east-rebar_2_S247,ebba_extra,sample,NA,NA,NA
114-east-rebar_S203,ebba,sample,NA,NA,NA
114-north-rebar_2_S246,ebba_extra,sample,NA,NA,NA
114-north-rebar_S202,ebba,sample,NA,NA,NA
114-south-rebar_2_S248,ebba_extra,sample,NA,NA,NA
114-south-rebar_S204,ebba,sample,NA,NA,NA
114-west-rebar_2_S249,ebba_extra,sample,NA,NA,NA
114-west-rebar_S205,ebba,sample,NA,NA,NA
HD3901-S1_4401_S1,basetree_100plots,sample,NA,NA,NA
HD3902-S1_4400_S100,basetree_100plots,sample,NA,NA,NA
HD4301-S1_S2,basetree_100plots,sample,NA,NA,NA
HD4308-S1_S8,basetree_100plots,sample,NA,NA,NA
HD4309-S1_S9,basetree_100plots,sample,NA,NA,NA
HD4310-S1_S10,basetree_100plots,sample,NA,NA,NA
HD4311-S1_S11,basetree_100plots,sample,NA,NA,NA
HD4312-S1_S12,basetree_100plots,sample,NA,NA,NA
HD4313-S1_S13,basetree_100plots,sample,NA,NA,NA
HD4314-S1_S14,basetree_100plots,sample,NA,NA,NA
HD4315-S1_S15,basetree_100plots,sample,NA,NA,NA
HD4316-S1_S16,basetree_100plots,sample,NA,NA,NA
HD4319-S1_S19,basetree_100plots,sample,NA,NA,NA
HD4320-S1_S20,basetree_100plots,sample,NA,NA,NA
HD4321-S1_S121,plots5_samples20,sample,NA,NA,NA
HD4321-S10_S130,plots5_samples20,sample,NA,NA,NA
HD4321-S11_S131,plots5_samples20,sample,NA,NA,NA
HD4321-S12_S132,plots5_samples20,sample,NA,NA,NA
HD4321-S13_S133,plots5_samples20,sample,NA,NA,NA
HD4321-S14_S134,plots5_samples20,sample,NA,NA,NA
HD4321-S15_S135,plots5_samples20,sample,NA,NA,NA
HD4321-S16_S136,plots5_samples20,sample,NA,NA,NA
HD4321-S17_S137,plots5_samples20,sample,NA,NA,NA
HD4321-S18_S138,plots5_samples20,sample,NA,NA,NA
HD4321-S19_S139,plots5_samples20,sample,NA,NA,NA
HD4321-S2_S122,plots5_samples20,sample,NA,NA,NA
HD4321-S20_S140,plots5_samples20,sample,NA,NA,NA
HD4321-S3_S123,plots5_samples20,sample,NA,NA,NA
HD4321-S4_S124,plots5_samples20,sample,NA,NA,NA
HD4321-S5_S125,plots5_samples20,sample,NA,NA,NA
HD4321-S6_S126,plots5_samples20,sample,NA,NA,NA
HD4321-S7_S127,plots5_samples20,sample,NA,NA,NA
HD4321-S8_S128,plots5_samples20,sample,NA,NA,NA
HD4321-S9_S129,plots5_samples20,sample,NA,NA,NA
HD4325-S1_S25,basetree_100plots,sample,NA,NA,NA
HD4326-S1_S26,basetree_100plots,sample,NA,NA,NA
HD4327-S1_S27,basetree_100plots,sample,NA,NA,NA
HD4329-S1_S29,basetree_100plots,sample,NA,NA,NA
HD4330-S1_S30,basetree_100plots,sample,NA,NA,NA
HD4336-S10_S170,plots5_samples20,sample,NA,NA,NA
HD4336-S11_S171,plots5_samples20,sample,NA,NA,NA
HD4336-S111_23_S36,plots5_samples20,sample,NA,NA,NA
HD4336-S12_S172,plots5_samples20,sample,NA,NA,NA
HD4336-S13_S173,plots5_samples20,sample,NA,NA,NA
HD4336-S14_S174,plots5_samples20,sample,NA,NA,NA
HD4336-S15_S175,plots5_samples20,sample,NA,NA,NA
HD4336-S16_S176,plots5_samples20,sample,NA,NA,NA
HD4336-S17_S177,plots5_samples20,sample,NA,NA,NA
HD4336-S18_S178,plots5_samples20,sample,NA,NA,NA
HD4336-S19_S179,plots5_samples20,sample,NA,NA,NA
HD4336-S2_S162,plots5_samples20,sample,NA,NA,NA
HD4336-S20_S180,plots5_samples20,sample,NA,NA,NA
HD4336-S3_S163,plots5_samples20,sample,NA,NA,NA
HD4336-S4_S164,plots5_samples20,sample,NA,NA,NA
HD4336-S5_S165,plots5_samples20,sample,NA,NA,NA
HD4336-S6_S166,plots5_samples20,sample,NA,NA,NA
HD4336-S7_S167,plots5_samples20,sample,NA,NA,NA
HD4336-S8_S168,plots5_samples20,sample,NA,NA,NA
HD4336-S9_S169,plots5_samples20,sample,NA,NA,NA
HD4338-S1_S38,basetree_100plots,sample,NA,NA,NA
HD4344-S1_S44,basetree_100plots,sample,NA,NA,NA
HD4345-S1_S45,basetree_100plots,sample,NA,NA,NA
HD4346-S1_S46,basetree_100plots,sample,NA,NA,NA
HD4347-S1_S47,basetree_100plots,sample,NA,NA,NA
HD4348-S1_S48,basetree_100plots,sample,NA,NA,NA
HD4350-S1_S50,basetree_100plots,sample,NA,NA,NA
HD4351-S1_S51,basetree_100plots,sample,NA,NA,NA
HD4352-S1_S52,basetree_100plots,sample,NA,NA,NA
HD4353-S1_S53,basetree_100plots,sample,NA,NA,NA
HD4370-S1_S70,control_plot,sample,NA,NA,NA
HD4371-S1_S101,plots5_samples20,sample,NA,NA,NA
HD4371-S10_S110,plots5_samples20,sample,NA,NA,NA
HD4371-S11_S111,plots5_samples20,sample,NA,NA,NA
HD4371-S111_19_S71,control_plot,sample,NA,NA,NA
HD4371-S12_S112,plots5_samples20,sample,NA,NA,NA
HD4371-S13_S113,plots5_samples20,sample,NA,NA,NA
HD4371-S14_S114,plots5_samples20,sample,NA,NA,NA
HD4371-S15_S115,plots5_samples20,sample,NA,NA,NA
HD4371-S16_S116,plots5_samples20,sample,NA,NA,NA
HD4371-S17_S117,plots5_samples20,sample,NA,NA,NA
HD4371-S18_S118,plots5_samples20,sample,NA,NA,NA
HD4371-S19_S119,plots5_samples20,sample,NA,NA,NA
HD4371-S2_S102,plots5_samples20,sample,NA,NA,NA
HD4371-S20_S120,plots5_samples20,sample,NA,NA,NA
HD4371-S3_S103,plots5_samples20,sample,NA,NA,NA
HD4371-S4_S104,plots5_samples20,sample,NA,NA,NA
HD4371-S5_S105,plots5_samples20,sample,NA,NA,NA
HD4371-S6_S106,plots5_samples20,sample,NA,NA,NA
HD4371-S7_S107,plots5_samples20,sample,NA,NA,NA
HD4371-S8_S108,plots5_samples20,sample,NA,NA,NA
HD4371-S9_S109,plots5_samples20,sample,NA,NA,NA
HD4372-S1_S72,basetree_100plots,sample,NA,NA,NA
HD4373-S1_S73,basetree_100plots,sample,NA,NA,NA
HD4374-S1_S74,basetree_100plots,sample,NA,NA,NA
HD4375-S1_S75,basetree_100plots,sample,NA,NA,NA
HD4393-S1_S93,basetree_100plots,sample,NA,NA,NA
HD4394-S1_S94,basetree_100plots,sample,NA,NA,NA
HD4395-S1_S95,basetree_100plots,sample,NA,NA,NA
HD4317-S1_S17,basetree_100plots,sample,NA,NA,NA
HD4318-S1_S18,basetree_100plots,sample,NA,NA,NA
HD4321-S111_19_S21,basetree_100plots,sample,NA,NA,NA
HD4322-S1_S22,basetree_100plots,sample,NA,NA,NA
HD4323-S1_S23,basetree_100plots,sample,NA,NA,NA
HD4328-S1_S28,basetree_100plots,sample,NA,NA,NA
